============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 2000 (20.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,092,831.7
Gen   3/150 | Best:  1,215,677.8 | Avg:  1,955,101.1
Gen   4/150 | Best:  1,215,677.8 | Avg:  1,870,294.3
Gen   5/150 | Best:  1,215,677.8 | Avg:  1,797,432.7
Gen   6/150 | Best:  1,177,916.8 | Avg:  1,742,287.6
Gen   7/150 | Best:  1,153,277.1 | Avg:  1,700,963.8
Gen   8/150 | Best:  1,131,927.4 | Avg:  1,666,448.9
Gen   9/150 | Best:  1,118,335.6 | Avg:  1,646,072.6
Gen  10/150 | Best:  1,094,734.2 | Avg:  1,619,395.2
Gen  11/150 | Best:  1,071,665.8 | Avg:  1,597,530.6
Gen  12/150 | Best:  1,008,002.2 | Avg:  1,572,870.9
Gen  13/150 | Best:  1,008,002.2 | Avg:  1,553,842.0
Gen  14/150 | Best:  1,008,002.2 | Avg:  1,535,237.2
Gen  15/150 | Best:    988,661.4 | Avg:  1,524,290.9
Gen  16/150 | Best:    968,111.3 | Avg:  1,513,812.3
Gen  17/150 | Best:    961,953.9 | Avg:  1,498,642.7
Gen  18/150 | Best:    956,492.9 | Avg:  1,479,365.5
Gen  19/150 | Best:    956,492.9 | Avg:  1,465,720.2
Gen  20/150 | Best:    956,492.9 | Avg:  1,449,152.9
Gen  21/150 | Best:    956,492.9 | Avg:  1,423,131.5
Gen  22/150 | Best:    952,153.9 | Avg:  1,381,143.4
Gen  23/150 | Best:    944,310.6 | Avg:  1,314,565.9
Gen  24/150 | Best:    931,030.2 | Avg:  1,247,432.3
Gen  25/150 | Best:    925,983.1 | Avg:  1,183,529.2
Gen  26/150 | Best:    924,908.5 | Avg:  1,143,890.4
Gen  27/150 | Best:    921,076.0 | Avg:  1,109,597.4
Gen  28/150 | Best:    890,077.8 | Avg:  1,091,588.2
Gen  29/150 | Best:    890,077.8 | Avg:  1,076,457.7
Gen  30/150 | Best:    890,077.8 | Avg:  1,067,411.4
