============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 5
Mutation rate: 0.3

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,092,990.9
Gen   3/150 | Best:  1,198,083.0 | Avg:  1,961,910.3
Gen   4/150 | Best:  1,128,195.4 | Avg:  1,877,250.0
Gen   5/150 | Best:  1,128,195.4 | Avg:  1,817,914.0
Gen   6/150 | Best:  1,119,189.8 | Avg:  1,765,561.8
Gen   7/150 | Best:  1,094,537.0 | Avg:  1,730,210.9
Gen   8/150 | Best:  1,059,442.1 | Avg:  1,698,218.2
Gen   9/150 | Best:  1,058,020.8 | Avg:  1,669,350.5
Gen  10/150 | Best:  1,035,323.4 | Avg:  1,645,034.9
Gen  11/150 | Best:  1,026,730.3 | Avg:  1,623,972.3
Gen  12/150 | Best:  1,006,007.2 | Avg:  1,608,129.1
Gen  13/150 | Best:  1,006,007.2 | Avg:  1,592,367.5
Gen  14/150 | Best:  1,006,007.2 | Avg:  1,578,965.4
Gen  15/150 | Best:  1,006,007.2 | Avg:  1,567,065.7
Gen  16/150 | Best:    988,299.2 | Avg:  1,552,684.6
Gen  17/150 | Best:    988,299.2 | Avg:  1,543,733.7
Gen  18/150 | Best:    988,299.2 | Avg:  1,537,519.1
Gen  19/150 | Best:    988,299.2 | Avg:  1,527,099.5
Gen  20/150 | Best:    983,033.8 | Avg:  1,521,794.0
Gen  21/150 | Best:    974,635.6 | Avg:  1,511,306.8
Gen  22/150 | Best:    886,196.5 | Avg:  1,506,292.9
Gen  23/150 | Best:    886,196.5 | Avg:  1,502,114.0
Gen  24/150 | Best:    886,196.5 | Avg:  1,496,295.8
Gen  25/150 | Best:    886,196.5 | Avg:  1,491,884.4
Gen  26/150 | Best:    886,196.5 | Avg:  1,487,004.3
Gen  27/150 | Best:    886,196.5 | Avg:  1,480,363.4
Gen  28/150 | Best:    886,196.5 | Avg:  1,476,635.4
Gen  29/150 | Best:    886,196.5 | Avg:  1,472,430.2
Gen  30/150 | Best:    886,196.5 | Avg:  1,466,691.7
Gen  31/150 | Best:    886,196.5 | Avg:  1,462,434.3
Gen  32/150 | Best:    886,196.5 | Avg:  1,456,884.0
Gen  33/150 | Best:    886,196.5 | Avg:  1,451,614.6
Gen  34/150 | Best:    886,196.5 | Avg:  1,446,929.4
Gen  35/150 | Best:    886,196.5 | Avg:  1,444,181.2
Gen  36/150 | Best:    883,028.1 | Avg:  1,440,302.3
Gen  37/150 | Best:    883,028.1 | Avg:  1,431,129.8
Gen  38/150 | Best:    883,028.1 | Avg:  1,429,512.1
Gen  39/150 | Best:    883,028.1 | Avg:  1,424,211.6
Gen  40/150 | Best:    861,221.8 | Avg:  1,414,930.1
Gen  41/150 | Best:    861,221.8 | Avg:  1,412,967.7
Gen  42/150 | Best:    861,221.8 | Avg:  1,403,595.6
Gen  43/150 | Best:    861,221.8 | Avg:  1,394,853.1
Gen  44/150 | Best:    861,221.8 | Avg:  1,388,565.8
Gen  45/150 | Best:    861,221.8 | Avg:  1,380,908.6
Gen  46/150 | Best:    861,221.8 | Avg:  1,369,985.6
Gen  47/150 | Best:    860,962.2 | Avg:  1,359,869.3
Gen  48/150 | Best:    860,962.2 | Avg:  1,350,405.7
Gen  49/150 | Best:    860,962.2 | Avg:  1,338,303.9
Gen  50/150 | Best:    859,100.9 | Avg:  1,328,800.3
Gen  51/150 | Best:    847,755.4 | Avg:  1,310,631.6
Gen  52/150 | Best:    843,585.4 | Avg:  1,295,143.7
Gen  53/150 | Best:    843,585.4 | Avg:  1,282,470.0
Gen  54/150 | Best:    838,344.5 | Avg:  1,262,833.9
Gen  55/150 | Best:    838,344.5 | Avg:  1,242,172.9
Gen  56/150 | Best:    834,376.8 | Avg:  1,217,907.2
Gen  57/150 | Best:    822,312.2 | Avg:  1,196,692.4
Gen  58/150 | Best:    822,312.2 | Avg:  1,172,896.4
Gen  59/150 | Best:    822,312.2 | Avg:  1,152,302.3
Gen  60/150 | Best:    822,312.2 | Avg:  1,129,960.1
Gen  61/150 | Best:    822,312.2 | Avg:  1,103,379.2
Gen  62/150 | Best:    822,312.2 | Avg:  1,067,173.4
Gen  63/150 | Best:    822,312.2 | Avg:  1,031,365.0
Gen  64/150 | Best:    816,275.2 | Avg:    994,123.0
Gen  65/150 | Best:    811,924.5 | Avg:    966,064.6
Gen  66/150 | Best:    809,059.8 | Avg:    938,141.4
Gen  67/150 | Best:    809,059.8 | Avg:    921,251.0
Gen  68/150 | Best:    801,872.1 | Avg:    905,260.1
Gen  69/150 | Best:    801,872.1 | Avg:    891,684.4
Gen  70/150 | Best:    801,117.9 | Avg:    881,645.1
Gen  71/150 | Best:    795,312.7 | Avg:    869,093.1
Gen  72/150 | Best:    795,312.7 | Avg:    857,761.8
Gen  73/150 | Best:    794,390.6 | Avg:    853,243.0
Gen  74/150 | Best:    792,476.7 | Avg:    850,783.4
Gen  75/150 | Best:    792,476.7 | Avg:    849,846.3
Gen  76/150 | Best:    792,476.7 | Avg:    849,566.3
Gen  77/150 | Best:    792,476.7 | Avg:    860,341.9
Gen  78/150 | Best:    792,280.3 | Avg:    852,070.0
Gen  79/150 | Best:    790,136.1 | Avg:    845,325.0
Gen  80/150 | Best:    789,828.6 | Avg:    846,750.6
Gen  81/150 | Best:    789,828.6 | Avg:    850,154.0
Gen  82/150 | Best:    789,764.3 | Avg:    857,352.9
Gen  83/150 | Best:    789,764.3 | Avg:    845,565.6
Gen  84/150 | Best:    789,764.3 | Avg:    844,269.8
Gen  85/150 | Best:    789,764.3 | Avg:    863,809.2
Gen  86/150 | Best:    789,764.3 | Avg:    885,211.2
Gen  87/150 | Best:    789,764.3 | Avg:    876,262.6
Gen  88/150 | Best:    789,764.3 | Avg:    848,800.7
Gen  89/150 | Best:    789,764.3 | Avg:    824,881.9
Gen  90/150 | Best:    789,764.3 | Avg:    823,897.2
Gen  91/150 | Best:    789,764.3 | Avg:    823,797.5
Gen  92/150 | Best:    789,764.3 | Avg:    823,518.3
Gen  93/150 | Best:    789,764.3 | Avg:    823,763.3
Gen  94/150 | Best:    789,764.3 | Avg:    823,445.3
Gen  95/150 | Best:    789,764.3 | Avg:    823,530.9
Gen  96/150 | Best:    789,764.3 | Avg:    824,245.1
Gen  97/150 | Best:    789,764.3 | Avg:    823,959.0
Gen  98/150 | Best:    789,764.3 | Avg:    823,961.3
Gen  99/150 | Best:    789,764.3 | Avg:    823,697.6
